"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipLaunchKernel","3","28710","9570","43.1664411366712"
"hipModuleLaunchKernel","2","21630","10815","32.5214253495715"
"hipGetDevice","23","5140","223","7.72816117877011"
"hipPointerGetAttribute","6","4890","815","7.35227785295444"
"hipSetDevice","13","2860","220","4.30010524733123"
"__hipPushCallConfiguration","3","1210","403","1.81927529694783"
"__hipPopCallConfiguration","3","1040","346","1.56367463539317"
"hipGetLastError","4","1030","257","1.54863930236055"
"Total","57","66510","1166","100.0"
