ordinal,segment_id,group_id,mode_id,attempt_id,capture_strategy,hipprof_final_artifact_kind,elapsed_seconds,canonical_row_count,counter_numeric_row_count,counter_numeric_row_fraction,semantic_missing_counter_row_count,semantic_missing_counter_cell_count,end_gt_complete_row_count,end_gt_complete_row_fraction,end_gt_complete_delta_ns_sum,end_gt_complete_delta_ns_max,full_row_count,before_window_rows,after_window_rows,overlap_rows,unknown_pid_rows,csv_size_bytes,canonical_csv_path,csv_sha256,unit_complete_sha256,segment_complete_sha256
1,01_gqa6_pmc,gqa6,pmc,attempt-004,always_on_capture_offline_pid_monotonic_window,direct_csv,896.0004667390021,5376,5376,1.0,0,0,0,0.0,0,0,6736,1360,0,0,0,5607859,/public/home/tangyu408/Qwen_DCU_Worker_0/perf_trace_batch8/runtime/workflow01-10-fresh-e2e/batch8-dp2-fresh-003/artifacts/R08/observed_subset_replay_001/segments/01_gqa6_pmc/attempt-004/output/capture.measured.csv,94906cc0ff8a458d8634e2bb331e154c05c738a58c5335c9f036124226af19ae,1fadc276abc8bd238a9b6465162995cc377f4d4b57581c67d2f4b0795a7f7e93,63c11f62659d3082e3ff62372db3a582509dff1d11ccae07c7237eb67f0b8c7a
2,02_gqa6_pmc_read,gqa6,pmc_read,attempt-001,always_on_capture_offline_pid_monotonic_window,direct_csv,883.6454131439968,5376,5374,0.9996279761904762,2,372,0,0.0,0,0,6736,1360,0,0,0,4680236,/public/home/tangyu408/Qwen_DCU_Worker_0/perf_trace_batch8/runtime/workflow01-10-fresh-e2e/batch8-dp2-fresh-003/artifacts/R08/observed_subset_replay_001/segments/02_gqa6_pmc_read/attempt-001/output/capture.measured.csv,59ce68813c929dfc1aeb795cb0e8a32a15b2821886e99cc29ab8f0273afa3a87,6564fccec38a99a371736a59fe0d0728c0b727c43aff4ae2a90ff877fb040612,9ca40ef3e82ca851ce1b8fb66b07784640faf48954ea87509d73f4745a36e678
3,03_gqa6_pmc_write,gqa6,pmc_write,attempt-001,always_on_capture_offline_pid_monotonic_window,direct_csv,885.7048494920018,5376,5374,0.9996279761904762,2,372,0,0.0,0,0,6736,1360,0,0,0,4610944,/public/home/tangyu408/Qwen_DCU_Worker_0/perf_trace_batch8/runtime/workflow01-10-fresh-e2e/batch8-dp2-fresh-003/artifacts/R08/observed_subset_replay_001/segments/03_gqa6_pmc_write/attempt-001/output/capture.measured.csv,5dbc90876c16881fe43a2e580eccb89853b80c7e0f4f31ba889d9e72d2f2b2f7,ec076dcdaa2d417e2b0b3f66d2b00ed0895008b732852abebb7cc7c75fd287cb,1b1c6a12803eb5401ec3b47e933ff7a2cfd2320b3858937b1c1bc944e83882d8
4,04_triton_rmsnorm_pmc,triton_rmsnorm,pmc,attempt-001,always_on_capture_offline_pid_monotonic_window,direct_csv,1868.6479628029992,307278,307276,0.9999934912359492,2,372,1095,0.003563548317809931,3324688,9427,585531,278253,0,0,0,208852620,/public/home/tangyu408/Qwen_DCU_Worker_0/perf_trace_batch8/runtime/workflow01-10-fresh-e2e/batch8-dp2-fresh-003/artifacts/R08/observed_subset_replay_001/segments/04_triton_rmsnorm_pmc/attempt-001/output/capture.measured.csv,e7558bd8ed5efbc6d5dd85f1bddbeb4a11850adcc652f245e99833688ac160fd,95db8026c824ccd6e565778682ff140d6e1d04786527ed10a24caddce0cf1f37,11eb95f030936fd53c5b0275ef13264ff1719e736fdb5ae4d2462d269e8c73ed
5,05_triton_rmsnorm_pmc_read,triton_rmsnorm,pmc_read,attempt-001,per_worker_hipProfilerStop_Start_plus_offline_pid_monotonic_guard,direct_csv,1472.4253149590004,307278,307276,0.9999934912359492,2,372,1503,0.004891336184171987,4194303,13128,307278,0,0,0,0,199333701,/public/home/tangyu408/Qwen_DCU_Worker_0/perf_trace_batch8/runtime/workflow01-10-fresh-e2e/batch8-dp2-fresh-003/artifacts/R08/observed_subset_replay_001/segments/05_triton_rmsnorm_pmc_read/attempt-001/output/capture.measured.csv,5fce784ce36f858172b2d84b2f95daba6baa2124c49bf75321b1013d403e629d,3d45fe4e7ab9206f9d30c342694acca7c1f156a2bce0d9940bdf8bf50ba2ce7d,cf9a121daa0ce2f05728f1d908e1f65ad721309d37d8084d924eebaf497dbc78
6,06_triton_rmsnorm_pmc_write,triton_rmsnorm,pmc_write,attempt-001,per_worker_hipProfilerStop_Start_plus_offline_pid_monotonic_guard,direct_csv,1446.8569692320016,307278,307276,0.9999934912359492,2,372,771,0.0025091285415812393,2310778,8405,307278,0,0,0,0,211577334,/public/home/tangyu408/Qwen_DCU_Worker_0/perf_trace_batch8/runtime/workflow01-10-fresh-e2e/batch8-dp2-fresh-003/artifacts/R08/observed_subset_replay_001/segments/06_triton_rmsnorm_pmc_write/attempt-001/output/capture.measured.csv,50352b051ca79f1a435c679c0f877caafc389aab5e7f67f1f2c579f1bf69ad63,def73692309092a682ed563ace345633a0daf8972835e61fac98b7fd087d326f,4d98aba504140910ddbc6c2d15d21c5d69547f2c034339c08b6dc7764225f478
7,07_chunk_group_pmc,chunk_group,pmc,attempt-001,per_worker_hipProfilerStop_Start_plus_offline_pid_monotonic_guard,direct_csv,1014.4823204589993,64512,64510,0.999968998015873,2,372,1826,0.028304811507936508,4059898,8930,64512,0,0,0,0,60992827,/public/home/tangyu408/Qwen_DCU_Worker_0/perf_trace_batch8/runtime/workflow01-10-fresh-e2e/batch8-dp2-fresh-003/artifacts/R08/observed_subset_replay_001/segments/07_chunk_group_pmc/attempt-001/output/capture.measured.csv,3b272ed1cc5b2ccbe54a726889b8bd47eb6358bbdb3484503012a02ffbfcae4a,d6ce2d9c0aca454b526abe6666376f215b910c73f7e0f75127fac0b7ef35e4b0,6caaa08c3df7f0602a74206c8e3289c3471729b24761bb339b0f669523ac33b2
8,08_chunk_group_pmc_read,chunk_group,pmc_read,attempt-001,per_worker_hipProfilerStop_Start_plus_offline_pid_monotonic_guard,direct_csv,1021.7234928840044,64512,64512,1.0,0,0,2738,0.04244171626984127,7032218,9692,64512,0,0,0,0,49860995,/public/home/tangyu408/Qwen_DCU_Worker_0/perf_trace_batch8/runtime/workflow01-10-fresh-e2e/batch8-dp2-fresh-003/artifacts/R08/observed_subset_replay_001/segments/08_chunk_group_pmc_read/attempt-001/output/capture.measured.csv,9fb7e49a79405f8b225cafb8017c18818da14941f7e9dc4ca4539fcd30fe146e,35b4d260ded0a1e891e587796e0d9ab6593ca7f42c0979e3b035986aedcf83a3,659e044fe033e51f2248d101f02d03c1fc209790c1a9b7ec442cdc627f53f483
9,09_chunk_group_pmc_write,chunk_group,pmc_write,attempt-001,per_worker_hipProfilerStop_Start_plus_offline_pid_monotonic_guard,direct_csv,1020.4541083520016,64512,64512,1.0,0,0,2114,0.032769097222222224,5299502,12413,64512,0,0,0,0,55185691,/public/home/tangyu408/Qwen_DCU_Worker_0/perf_trace_batch8/runtime/workflow01-10-fresh-e2e/batch8-dp2-fresh-003/artifacts/R08/observed_subset_replay_001/segments/09_chunk_group_pmc_write/attempt-001/output/capture.measured.csv,9d73bf7027c5019475f42973f38064abb38d0993639cc2e594f8fe38241652da,09b1311da1816b4c1b33b441d32b99b75ff55c48be4d6e4aab028ad15c5b12a3,e84ea599e73a6c07c608f656a6b344b3c57543bb8d7fdda574c5c8ac8ca8773e
