group_id,kernel_name,gpu_id,row_count,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,waves_per_workgroup_static
chunk_group,chunk_fwd_kernel_o,0,48,245760,256,10240,0,76,0,64,64,4
chunk_group,chunk_fwd_kernel_o,0,1920,393216,256,10240,0,76,0,64,64,4
chunk_group,chunk_fwd_kernel_o,0,2064,442368,256,10240,0,76,0,64,64,4
chunk_group,chunk_fwd_kernel_o,0,2112,491520,256,10240,0,76,0,64,64,4
chunk_group,chunk_fwd_kernel_o,0,1968,540672,256,10240,0,76,0,64,64,4
chunk_group,chunk_fwd_kernel_o,1,48,196608,256,20480,0,96,0,64,64,4
chunk_group,chunk_fwd_kernel_o,1,1920,393216,256,20480,0,96,0,64,64,4
chunk_group,chunk_fwd_kernel_o,1,1920,442368,256,20480,0,96,0,64,64,4
chunk_group,chunk_fwd_kernel_o,1,2016,491520,256,20480,0,96,0,64,64,4
chunk_group,chunk_fwd_kernel_o,1,2112,540672,256,20480,0,96,0,64,64,4
chunk_group,chunk_fwd_kernel_o,all,48,196608,256,20480,0,96,0,64,64,4
chunk_group,chunk_fwd_kernel_o,all,48,245760,256,10240,0,76,0,64,64,4
chunk_group,chunk_fwd_kernel_o,all,1920,393216,256,10240,0,76,0,64,64,4
chunk_group,chunk_fwd_kernel_o,all,1920,393216,256,20480,0,96,0,64,64,4
chunk_group,chunk_fwd_kernel_o,all,2064,442368,256,10240,0,76,0,64,64,4
chunk_group,chunk_fwd_kernel_o,all,1920,442368,256,20480,0,96,0,64,64,4
chunk_group,chunk_fwd_kernel_o,all,2112,491520,256,10240,0,76,0,64,64,4
chunk_group,chunk_fwd_kernel_o,all,2016,491520,256,20480,0,96,0,64,64,4
chunk_group,chunk_fwd_kernel_o,all,1968,540672,256,10240,0,76,0,64,64,4
chunk_group,chunk_fwd_kernel_o,all,2112,540672,256,20480,0,96,0,64,64,4
chunk_group,chunk_gated_delta_rule_fwd_kernel_h_blockdim64,0,48,12288,128,40960,256,256,0,112,64,2
chunk_group,chunk_gated_delta_rule_fwd_kernel_h_blockdim64,0,2112,147456,256,36864,0,196,0,80,64,4
chunk_group,chunk_gated_delta_rule_fwd_kernel_h_blockdim64,0,2016,196608,256,36864,0,196,0,80,64,4
chunk_group,chunk_gated_delta_rule_fwd_kernel_h_blockdim64,0,1872,49152,256,36864,0,196,0,80,64,4
chunk_group,chunk_gated_delta_rule_fwd_kernel_h_blockdim64,0,2064,98304,256,36864,0,196,0,80,64,4
chunk_group,chunk_gated_delta_rule_fwd_kernel_h_blockdim64,1,2016,147456,256,36864,0,196,0,80,64,4
chunk_group,chunk_gated_delta_rule_fwd_kernel_h_blockdim64,1,2160,196608,256,36864,0,196,0,80,64,4
chunk_group,chunk_gated_delta_rule_fwd_kernel_h_blockdim64,1,1920,49152,256,36864,0,196,0,80,64,4
chunk_group,chunk_gated_delta_rule_fwd_kernel_h_blockdim64,1,1920,98304,256,36864,0,196,0,80,64,4
chunk_group,chunk_gated_delta_rule_fwd_kernel_h_blockdim64,all,48,12288,128,40960,256,256,0,112,64,2
chunk_group,chunk_gated_delta_rule_fwd_kernel_h_blockdim64,all,4128,147456,256,36864,0,196,0,80,64,4
chunk_group,chunk_gated_delta_rule_fwd_kernel_h_blockdim64,all,4176,196608,256,36864,0,196,0,80,64,4
chunk_group,chunk_gated_delta_rule_fwd_kernel_h_blockdim64,all,3792,49152,256,36864,0,196,0,80,64,4
chunk_group,chunk_gated_delta_rule_fwd_kernel_h_blockdim64,all,3984,98304,256,36864,0,196,0,80,64,4
chunk_group,chunk_local_cumsum_scalar_kernel,0,48,122880,512,0,0,8,0,32,64,8
chunk_group,chunk_local_cumsum_scalar_kernel,0,1920,196608,512,0,0,8,0,32,64,8
chunk_group,chunk_local_cumsum_scalar_kernel,0,2064,221184,512,0,0,8,0,32,64,8
chunk_group,chunk_local_cumsum_scalar_kernel,0,2112,245760,512,0,0,8,0,32,64,8
chunk_group,chunk_local_cumsum_scalar_kernel,0,1968,270336,512,0,0,8,0,32,64,8
chunk_group,chunk_local_cumsum_scalar_kernel,1,48,12288,64,0,0,8,0,32,64,1
chunk_group,chunk_local_cumsum_scalar_kernel,1,1920,24576,64,0,0,8,0,32,64,1
chunk_group,chunk_local_cumsum_scalar_kernel,1,1920,27648,64,0,0,8,0,32,64,1
chunk_group,chunk_local_cumsum_scalar_kernel,1,2016,30720,64,0,0,8,0,32,64,1
chunk_group,chunk_local_cumsum_scalar_kernel,1,2112,33792,64,0,0,8,0,32,64,1
