rank,group_or_event_key,score_ns,member_count,source_member_ids_json
377,1:1535026:1535028,1528329,1,"[""1:1535026:1535028""]"
378,1:1109796:1109798,1527849,1,"[""1:1109796:1109798""]"
379,0:2160891:2160893,1527198,1,"[""0:2160891:2160893""]"
380,0:2176177:2176179,1527139,1,"[""0:2176177:2176179""]"
381,1:2048764:2048766,1526739,1,"[""1:2048764:2048766""]"
382,1:2300270:2300272,1526598,1,"[""1:2300270:2300272""]"
383,0:2150533:2150535,1526199,1,"[""0:2150533:2150535""]"
384,0:2285637:2285639,1525749,1,"[""0:2285637:2285639""]"
385,0:2340007:2340009,1522499,1,"[""0:2340007:2340009""]"
386,1:2375808:2375810,1522399,1,"[""1:2375808:2375810""]"
387,1:1066204:1066206,1519699,1,"[""1:1066204:1066206""]"
388,0:2132421:2132423,1519599,1,"[""0:2132421:2132423""]"
389,0:2300269:2300271,1518438,1,"[""0:2300269:2300271""]"
390,0:2107637:2107639,1517158,1,"[""0:2107637:2107639""]"
391,0:2055295:2055297,1516359,1,"[""0:2055295:2055297""]"
392,1:2484928:2484930,1513328,1,"[""1:2484928:2484930""]"
393,0:1688387:1688389,1510978,1,"[""0:1688387:1688389""]"
394,1:2454820:2454822,1510587,1,"[""1:2454820:2454822""]"
395,1:2388918:2388920,1505169,1,"[""1:2388918:2388920""]"
396,1:747228:747230,1505119,1,"[""1:747228:747230""]"
397,1:2102596:2102598,1504468,1,"[""1:2102596:2102598""]"
398,1:1439992:1439994,1502619,1,"[""1:1439992:1439994""]"
399,0:2099295:2099297,1502259,1,"[""0:2099295:2099297""]"
400,1:467444:467446,1499758,1,"[""1:467444:467446""]"
401,0:2081109:2081111,1498998,1,"[""0:2081109:2081111""]"
402,1:2151934:2151936,1497369,1,"[""1:2151934:2151936""]"
403,0:1652641:1652643,1493919,1,"[""0:1652641:1652643""]"
404,0:2375807:2375809,1493349,1,"[""0:2375807:2375809""]"
405,0:2484927:2484929,1491388,1,"[""0:2484927:2484929""]"
406,0:2340791:2340793,1490648,1,"[""0:2340791:2340793""]"
407,0:1066203:1066205,1489509,1,"[""0:1066203:1066205""]"
408,0:2484721:2484723,1486148,1,"[""0:2484721:2484723""]"
