rank,group_or_event_key,score_ns,member_count,source_member_ids_json
10211,76b4efeb11d7cf07c99cc1560b1c12dd0a369504d4ad284dda512c1d673ac046,407680,1,"[""76b4efeb11d7cf07c99cc1560b1c12dd0a369504d4ad284dda512c1d673ac046""]"
10212,4022f2ee65df39a6d0c91268f9bc351e7d05858b0bd0b5f62834694553cce184,407679,1,"[""4022f2ee65df39a6d0c91268f9bc351e7d05858b0bd0b5f62834694553cce184""]"
10213,7a787b31d72f9a2a52ddff6390cd1818f2a216f10852d020f25952f6e31193e4,407520,1,"[""7a787b31d72f9a2a52ddff6390cd1818f2a216f10852d020f25952f6e31193e4""]"
10214,81d71051a11f36df80495bb373d9801c34e217e40c30116262a460a03a2f1328,407520,1,"[""81d71051a11f36df80495bb373d9801c34e217e40c30116262a460a03a2f1328""]"
10215,99a8729fff4ef61a591c33ae976bf9e7de5ea2839dcd1b8ecc01069f9acca7e2,407520,1,"[""99a8729fff4ef61a591c33ae976bf9e7de5ea2839dcd1b8ecc01069f9acca7e2""]"
10216,f3207da396ca960f214c93a1c4073616a92ca4d9f632e6009ffe3b424ec06219,407520,1,"[""f3207da396ca960f214c93a1c4073616a92ca4d9f632e6009ffe3b424ec06219""]"
10217,1d6d1a249655bd5700d383e6ed348ce0f139913e9e6adb673c1c912d1d4a2736,407360,1,"[""1d6d1a249655bd5700d383e6ed348ce0f139913e9e6adb673c1c912d1d4a2736""]"
10218,23e1f0726c6ac01c4c43cf90e4b520cdfa9276c7edc740e7dc92c656a03f7818,407360,1,"[""23e1f0726c6ac01c4c43cf90e4b520cdfa9276c7edc740e7dc92c656a03f7818""]"
10219,a50fde81e386c3e056c5143fa2fd6eb65be30adcaf315cd3fca6ec176a433008,407360,1,"[""a50fde81e386c3e056c5143fa2fd6eb65be30adcaf315cd3fca6ec176a433008""]"
10220,bdb2e5b53461129b5d8b17253cd1443d049ceca12516845344bbad560ca2a303,407360,1,"[""bdb2e5b53461129b5d8b17253cd1443d049ceca12516845344bbad560ca2a303""]"
