Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_ACTIVE_INST_VALU,SQ_INSTS_FLAT_LDS_ONLY,SQ_INSTS_LDS,SQ_INSTS_VALU,SQ_INSTS_VMEM_RD,SQ_INSTS_VMEM_WR,SQ_LDS_BANK_CONFLICT,SQ_WAIT_INST_LDS,TA_FLAT_WRITE_WAVEFRONTS[0],TA_FLAT_WRITE_WAVEFRONTS[1],TA_FLAT_WRITE_WAVEFRONTS[2],TA_FLAT_WRITE_WAVEFRONTS[3],TA_FLAT_WRITE_WAVEFRONTS[4],TA_FLAT_WRITE_WAVEFRONTS[5],TA_FLAT_WRITE_WAVEFRONTS[6],TA_FLAT_WRITE_WAVEFRONTS[7],TA_FLAT_WRITE_WAVEFRONTS[8],TA_FLAT_WRITE_WAVEFRONTS[9],TA_FLAT_WRITE_WAVEFRONTS[10],TA_FLAT_WRITE_WAVEFRONTS[11],TA_FLAT_WRITE_WAVEFRONTS[12],TA_FLAT_WRITE_WAVEFRONTS[13],TA_FLAT_WRITE_WAVEFRONTS[14],TA_FLAT_WRITE_WAVEFRONTS[15],TA_TA_BUSY[0],TA_TA_BUSY[1],TA_TA_BUSY[2],TA_TA_BUSY[3],TA_TA_BUSY[4],TA_TA_BUSY[5],TA_TA_BUSY[6],TA_TA_BUSY[7],TA_TA_BUSY[8],TA_TA_BUSY[9],TA_TA_BUSY[10],TA_TA_BUSY[11],TA_TA_BUSY[12],TA_TA_BUSY[13],TA_TA_BUSY[14],TA_TA_BUSY[15],TCC_EA_WRREQ[0],TCC_EA_WRREQ[1],TCC_EA_WRREQ[2],TCC_EA_WRREQ[3],TCC_EA_WRREQ[4],TCC_EA_WRREQ[5],TCC_EA_WRREQ[6],TCC_EA_WRREQ[7],TCC_EA_WRREQ[8],TCC_EA_WRREQ[9],TCC_EA_WRREQ[10],TCC_EA_WRREQ[11],TCC_EA_WRREQ[12],TCC_EA_WRREQ[13],TCC_EA_WRREQ[14],TCC_EA_WRREQ[15],TCC_EA_WRREQ[16],TCC_EA_WRREQ[17],TCC_EA_WRREQ[18],TCC_EA_WRREQ[19],TCC_EA_WRREQ[20],TCC_EA_WRREQ[21],TCC_EA_WRREQ[22],TCC_EA_WRREQ[23],TCC_EA_WRREQ[24],TCC_EA_WRREQ[25],TCC_EA_WRREQ[26],TCC_EA_WRREQ[27],TCC_EA_WRREQ[28],TCC_EA_WRREQ[29],TCC_EA_WRREQ[30],TCC_EA_WRREQ[31],TCC_EA_WRREQ_64B[0],TCC_EA_WRREQ_64B[1],TCC_EA_WRREQ_64B[2],TCC_EA_WRREQ_64B[3],TCC_EA_WRREQ_64B[4],TCC_EA_WRREQ_64B[5],TCC_EA_WRREQ_64B[6],TCC_EA_WRREQ_64B[7],TCC_EA_WRREQ_64B[8],TCC_EA_WRREQ_64B[9],TCC_EA_WRREQ_64B[10],TCC_EA_WRREQ_64B[11],TCC_EA_WRREQ_64B[12],TCC_EA_WRREQ_64B[13],TCC_EA_WRREQ_64B[14],TCC_EA_WRREQ_64B[15],TCC_EA_WRREQ_64B[16],TCC_EA_WRREQ_64B[17],TCC_EA_WRREQ_64B[18],TCC_EA_WRREQ_64B[19],TCC_EA_WRREQ_64B[20],TCC_EA_WRREQ_64B[21],TCC_EA_WRREQ_64B[22],TCC_EA_WRREQ_64B[23],TCC_EA_WRREQ_64B[24],TCC_EA_WRREQ_64B[25],TCC_EA_WRREQ_64B[26],TCC_EA_WRREQ_64B[27],TCC_EA_WRREQ_64B[28],TCC_EA_WRREQ_64B[29],TCC_EA_WRREQ_64B[30],TCC_EA_WRREQ_64B[31],TCC_EA1_WRREQ[0],TCC_EA1_WRREQ[1],TCC_EA1_WRREQ[2],TCC_EA1_WRREQ[3],TCC_EA1_WRREQ[4],TCC_EA1_WRREQ[5],TCC_EA1_WRREQ[6],TCC_EA1_WRREQ[7],TCC_EA1_WRREQ[8],TCC_EA1_WRREQ[9],TCC_EA1_WRREQ[10],TCC_EA1_WRREQ[11],TCC_EA1_WRREQ[12],TCC_EA1_WRREQ[13],TCC_EA1_WRREQ[14],TCC_EA1_WRREQ[15],TCC_EA1_WRREQ[16],TCC_EA1_WRREQ[17],TCC_EA1_WRREQ[18],TCC_EA1_WRREQ[19],TCC_EA1_WRREQ[20],TCC_EA1_WRREQ[21],TCC_EA1_WRREQ[22],TCC_EA1_WRREQ[23],TCC_EA1_WRREQ[24],TCC_EA1_WRREQ[25],TCC_EA1_WRREQ[26],TCC_EA1_WRREQ[27],TCC_EA1_WRREQ[28],TCC_EA1_WRREQ[29],TCC_EA1_WRREQ[30],TCC_EA1_WRREQ[31],TCC_EA1_WRREQ_64B[0],TCC_EA1_WRREQ_64B[1],TCC_EA1_WRREQ_64B[2],TCC_EA1_WRREQ_64B[3],TCC_EA1_WRREQ_64B[4],TCC_EA1_WRREQ_64B[5],TCC_EA1_WRREQ_64B[6],TCC_EA1_WRREQ_64B[7],TCC_EA1_WRREQ_64B[8],TCC_EA1_WRREQ_64B[9],TCC_EA1_WRREQ_64B[10],TCC_EA1_WRREQ_64B[11],TCC_EA1_WRREQ_64B[12],TCC_EA1_WRREQ_64B[13],TCC_EA1_WRREQ_64B[14],TCC_EA1_WRREQ_64B[15],TCC_EA1_WRREQ_64B[16],TCC_EA1_WRREQ_64B[17],TCC_EA1_WRREQ_64B[18],TCC_EA1_WRREQ_64B[19],TCC_EA1_WRREQ_64B[20],TCC_EA1_WRREQ_64B[21],TCC_EA1_WRREQ_64B[22],TCC_EA1_WRREQ_64B[23],TCC_EA1_WRREQ_64B[24],TCC_EA1_WRREQ_64B[25],TCC_EA1_WRREQ_64B[26],TCC_EA1_WRREQ_64B[27],TCC_EA1_WRREQ_64B[28],TCC_EA1_WRREQ_64B[29],TCC_EA1_WRREQ_64B[30],TCC_EA1_WRREQ_64B[31],TCP_TCP_TA_DATA_STALL_CYCLES[0],TCP_TCP_TA_DATA_STALL_CYCLES[1],TCP_TCP_TA_DATA_STALL_CYCLES[2],TCP_TCP_TA_DATA_STALL_CYCLES[3],TCP_TCP_TA_DATA_STALL_CYCLES[4],TCP_TCP_TA_DATA_STALL_CYCLES[5],TCP_TCP_TA_DATA_STALL_CYCLES[6],TCP_TCP_TA_DATA_STALL_CYCLES[7],TCP_TCP_TA_DATA_STALL_CYCLES[8],TCP_TCP_TA_DATA_STALL_CYCLES[9],TCP_TCP_TA_DATA_STALL_CYCLES[10],TCP_TCP_TA_DATA_STALL_CYCLES[11],TCP_TCP_TA_DATA_STALL_CYCLES[12],TCP_TCP_TA_DATA_STALL_CYCLES[13],TCP_TCP_TA_DATA_STALL_CYCLES[14],TCP_TCP_TA_DATA_STALL_CYCLES[15],DispatchNs,BeginNs,EndNs,CompleteNs
1,_gqa6.kd,8,1,11,880090,880090,6144,256,34816,220,256,0,64,64,140126860599808,603286.000000,603286.000000,184896.000000,0.000000,19968.000000,157728.000000,5952.000000,5088.000000,41472.000000,22541.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14675.000000,22759.000000,21687.000000,6859.000000,7768.000000,15565.000000,15016.000000,14850.000000,15183.000000,14885.000000,29653.000000,0.000000,0.000000,0.000000,0.000000,0.000000,772.000000,788.000000,808.000000,740.000000,784.000000,768.000000,764.000000,800.000000,788.000000,776.000000,764.000000,780.000000,760.000000,784.000000,792.000000,740.000000,780.000000,784.000000,800.000000,752.000000,800.000000,780.000000,760.000000,800.000000,808.000000,772.000000,780.000000,796.000000,776.000000,792.000000,792.000000,780.000000,772.000000,788.000000,808.000000,740.000000,784.000000,768.000000,764.000000,800.000000,788.000000,776.000000,764.000000,780.000000,760.000000,784.000000,795.000000,740.000000,780.000000,784.000000,801.000000,752.000000,800.000000,780.000000,760.000000,800.000000,808.000000,772.000000,780.000000,796.000000,776.000000,792.000000,792.000000,780.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4244.000000,7043.000000,6289.000000,1949.000000,2418.000000,4632.000000,4914.000000,4862.000000,4862.000000,4324.000000,8779.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,519470599581688,519470599610168,0
2,_gqa6.kd,8,1,13,880090,880090,6144,256,34816,220,256,0,64,64,140126860593920,72301.000000,72301.000000,184896.000000,0.000000,19968.000000,157728.000000,5952.000000,5088.000000,41472.000000,24080.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7900.000000,7966.000000,16677.000000,40990.000000,32206.000000,24705.000000,7975.000000,8018.000000,15925.000000,16063.000000,18453.000000,0.000000,0.000000,0.000000,0.000000,0.000000,772.000000,788.000000,808.000000,740.000000,784.000000,768.000000,764.000000,800.000000,788.000000,776.000000,764.000000,780.000000,760.000000,784.000000,792.000000,740.000000,780.000000,784.000000,800.000000,752.000000,800.000000,780.000000,760.000000,800.000000,808.000000,772.000000,780.000000,796.000000,776.000000,792.000000,792.000000,780.000000,772.000000,788.000000,808.000000,740.000000,784.000000,768.000000,764.000000,800.000000,788.000000,776.000000,764.000000,780.000000,760.000000,784.000000,792.000000,740.000000,780.000000,784.000000,800.000000,752.000000,800.000000,780.000000,760.000000,800.000000,808.000000,772.000000,780.000000,796.000000,776.000000,792.000000,792.000000,780.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1710.000000,2622.000000,4135.000000,10251.000000,8982.000000,6636.000000,2569.000000,2543.000000,5149.000000,5153.000000,5151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,519470693327702,519470693356182,0
3,_gqa6.kd,8,1,15,880090,880090,6144,256,34816,220,256,0,64,64,140126860593792,72356.000000,72356.000000,184896.000000,0.000000,19968.000000,157728.000000,5952.000000,5088.000000,41472.000000,26530.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15467.000000,0.000000,17066.000000,16291.000000,16949.000000,16290.000000,42012.000000,33290.000000,25111.000000,8341.000000,8441.000000,0.000000,0.000000,0.000000,0.000000,0.000000,772.000000,788.000000,808.000000,740.000000,784.000000,768.000000,764.000000,800.000000,788.000000,776.000000,764.000000,780.000000,760.000000,784.000000,792.000000,740.000000,780.000000,784.000000,800.000000,752.000000,800.000000,780.000000,760.000000,800.000000,808.000000,772.000000,780.000000,796.000000,776.000000,792.000000,792.000000,780.000000,772.000000,788.000000,808.000000,740.000000,784.000000,768.000000,764.000000,800.000000,788.000000,776.000000,764.000000,780.000000,760.000000,784.000000,792.000000,740.000000,780.000000,784.000000,800.000000,752.000000,800.000000,780.000000,760.000000,800.000000,808.000000,772.000000,780.000000,796.000000,776.000000,792.000000,792.000000,780.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3953.000000,0.000000,5178.000000,5276.000000,5123.000000,5066.000000,11678.000000,9186.000000,6622.000000,2561.000000,2600.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,519470699485459,519470699514099,0
4,_gqa6.kd,8,1,17,880090,880090,6144,256,34816,220,256,0,64,64,140126860593664,71971.000000,71971.000000,184896.000000,0.000000,19968.000000,157728.000000,5952.000000,5088.000000,41472.000000,25976.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7701.000000,21104.000000,7131.000000,7476.000000,14811.000000,14889.000000,14170.000000,16819.000000,13985.000000,39777.000000,22605.000000,0.000000,0.000000,0.000000,0.000000,0.000000,772.000000,788.000000,808.000000,740.000000,784.000000,768.000000,764.000000,800.000000,788.000000,776.000000,764.000000,780.000000,760.000000,784.000000,792.000000,740.000000,780.000000,784.000000,800.000000,752.000000,800.000000,780.000000,760.000000,800.000000,808.000000,772.000000,780.000000,796.000000,776.000000,792.000000,792.000000,780.000000,772.000000,788.000000,808.000000,740.000000,784.000000,768.000000,764.000000,800.000000,788.000000,776.000000,764.000000,780.000000,760.000000,784.000000,792.000000,740.000000,780.000000,784.000000,800.000000,752.000000,800.000000,780.000000,760.000000,800.000000,808.000000,772.000000,780.000000,796.000000,776.000000,792.000000,792.000000,780.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2010.000000,6462.000000,2395.000000,2286.000000,4546.000000,4744.000000,4899.000000,4664.000000,4355.000000,11335.000000,6729.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,519470705702257,519470705730577,0
5,_gqa6.kd,8,1,19,880090,880090,6144,256,34816,220,256,0,64,64,140126860593536,72353.000000,72353.000000,184896.000000,0.000000,19968.000000,157728.000000,5952.000000,5088.000000,41472.000000,28088.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17149.000000,0.000000,40030.000000,32662.000000,24119.000000,7965.000000,8776.000000,17064.000000,15951.000000,16183.000000,16975.000000,0.000000,0.000000,0.000000,0.000000,0.000000,772.000000,788.000000,808.000000,740.000000,784.000000,768.000000,764.000000,800.000000,788.000000,776.000000,764.000000,780.000000,760.000000,784.000000,792.000000,740.000000,780.000000,784.000000,800.000000,752.000000,800.000000,780.000000,760.000000,800.000000,808.000000,772.000000,780.000000,796.000000,776.000000,792.000000,792.000000,780.000000,772.000000,788.000000,808.000000,740.000000,784.000000,768.000000,764.000000,800.000000,788.000000,776.000000,764.000000,780.000000,760.000000,784.000000,792.000000,740.000000,780.000000,784.000000,800.000000,752.000000,800.000000,780.000000,760.000000,800.000000,808.000000,772.000000,780.000000,796.000000,776.000000,792.000000,792.000000,780.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4713.000000,0.000000,10427.000000,8758.000000,6566.000000,1988.000000,2506.000000,5068.000000,5199.000000,5179.000000,5099.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,519470711892814,519470711921294,0
1,_gqa6.kd,9,1,11,880091,880091,6144,256,34816,220,256,0,64,64,140078879859200,604465.000000,604465.000000,184896.000000,0.000000,19968.000000,157728.000000,5952.000000,5088.000000,41472.000000,22984.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22213.000000,7490.000000,22773.000000,23645.000000,15822.000000,15750.000000,23576.000000,16710.000000,15519.000000,8388.000000,16262.000000,0.000000,0.000000,0.000000,0.000000,0.000000,772.000000,788.000000,808.000000,740.000000,784.000000,768.000000,764.000000,800.000000,788.000000,776.000000,764.000000,780.000000,760.000000,784.000000,792.000000,740.000000,780.000000,784.000000,800.000000,752.000000,800.000000,780.000000,760.000000,800.000000,808.000000,772.000000,780.000000,796.000000,776.000000,792.000000,792.000000,780.000000,772.000000,788.000000,808.000000,740.000000,784.000000,768.000000,764.000000,800.000000,788.000000,776.000000,764.000000,780.000000,760.000000,784.000000,795.000000,740.000000,780.000000,784.000000,801.000000,752.000000,800.000000,780.000000,760.000000,800.000000,808.000000,772.000000,780.000000,796.000000,776.000000,792.000000,792.000000,780.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9505.000000,3402.000000,8896.000000,8955.000000,7135.000000,6421.000000,10074.000000,6955.000000,6353.000000,3715.000000,7240.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,519470737991358,519470738020158,0
2,_gqa6.kd,9,1,13,880091,880091,6144,256,34816,220,256,0,64,64,140078879853312,73231.000000,73231.000000,184896.000000,0.000000,19968.000000,157728.000000,5952.000000,5088.000000,41472.000000,24521.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7462.000000,8165.000000,17124.000000,15630.000000,24466.000000,15825.000000,23391.000000,23972.000000,16429.000000,23673.000000,15318.000000,0.000000,0.000000,0.000000,0.000000,0.000000,772.000000,788.000000,808.000000,740.000000,784.000000,768.000000,764.000000,800.000000,788.000000,776.000000,764.000000,780.000000,760.000000,784.000000,792.000000,740.000000,780.000000,784.000000,800.000000,752.000000,800.000000,780.000000,760.000000,800.000000,808.000000,772.000000,780.000000,796.000000,776.000000,792.000000,792.000000,780.000000,772.000000,788.000000,808.000000,740.000000,784.000000,768.000000,764.000000,800.000000,788.000000,776.000000,764.000000,780.000000,760.000000,784.000000,792.000000,740.000000,780.000000,784.000000,800.000000,752.000000,800.000000,780.000000,760.000000,800.000000,808.000000,772.000000,780.000000,796.000000,776.000000,792.000000,792.000000,780.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3017.000000,3652.000000,7021.000000,6969.000000,10100.000000,6547.000000,9461.000000,10441.000000,6962.000000,10912.000000,7366.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,519470948404900,519470948433700,0
3,_gqa6.kd,9,1,15,880091,880091,6144,256,34816,220,256,0,64,64,140078879853184,73159.000000,73159.000000,184896.000000,0.000000,19968.000000,157728.000000,5952.000000,5088.000000,41472.000000,22369.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15818.000000,0.000000,25022.000000,17113.000000,17321.000000,17753.000000,16839.000000,24658.000000,14725.000000,22280.000000,24070.000000,0.000000,0.000000,0.000000,0.000000,0.000000,772.000000,788.000000,808.000000,740.000000,784.000000,768.000000,764.000000,800.000000,788.000000,776.000000,764.000000,780.000000,760.000000,784.000000,792.000000,740.000000,780.000000,784.000000,800.000000,752.000000,800.000000,780.000000,760.000000,800.000000,808.000000,772.000000,780.000000,796.000000,776.000000,792.000000,792.000000,780.000000,772.000000,788.000000,808.000000,740.000000,784.000000,768.000000,764.000000,800.000000,788.000000,776.000000,764.000000,780.000000,760.000000,784.000000,792.000000,740.000000,780.000000,784.000000,800.000000,752.000000,800.000000,780.000000,760.000000,800.000000,808.000000,772.000000,780.000000,796.000000,776.000000,792.000000,792.000000,780.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6266.000000,0.000000,10109.000000,6852.000000,6810.000000,6959.000000,7070.000000,9820.000000,6504.000000,9716.000000,10240.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,519470954659617,519470954688417,0
4,_gqa6.kd,9,1,17,880091,880091,6144,256,34816,220,256,0,64,64,140078879853056,72331.000000,72331.000000,184896.000000,0.000000,19968.000000,157728.000000,5952.000000,5088.000000,41472.000000,22487.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14246.000000,15620.000000,22941.000000,23679.000000,8374.000000,24263.000000,15435.000000,15300.000000,7385.000000,15437.000000,24615.000000,0.000000,0.000000,0.000000,0.000000,0.000000,772.000000,788.000000,808.000000,740.000000,784.000000,768.000000,764.000000,800.000000,788.000000,776.000000,764.000000,780.000000,760.000000,784.000000,792.000000,740.000000,780.000000,784.000000,800.000000,752.000000,800.000000,780.000000,760.000000,800.000000,808.000000,772.000000,780.000000,796.000000,776.000000,792.000000,792.000000,780.000000,772.000000,788.000000,808.000000,740.000000,784.000000,768.000000,764.000000,800.000000,788.000000,776.000000,764.000000,780.000000,760.000000,784.000000,792.000000,740.000000,780.000000,784.000000,800.000000,752.000000,800.000000,780.000000,760.000000,800.000000,808.000000,772.000000,780.000000,796.000000,776.000000,792.000000,792.000000,780.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5668.000000,6006.000000,9727.000000,10205.000000,3517.000000,10623.000000,7338.000000,7270.000000,3699.000000,6982.000000,10092.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,519470960730016,519470960758176,0
5,_gqa6.kd,9,1,19,880091,880091,6144,256,34816,220,256,0,64,64,140078879852928,73331.000000,73331.000000,184896.000000,0.000000,19968.000000,157728.000000,5952.000000,5088.000000,41472.000000,24763.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7353.000000,8000.000000,16139.000000,21456.000000,15237.000000,21782.000000,21866.000000,14238.000000,23491.000000,15972.000000,16022.000000,0.000000,0.000000,0.000000,0.000000,0.000000,772.000000,788.000000,808.000000,740.000000,784.000000,768.000000,764.000000,800.000000,788.000000,776.000000,764.000000,780.000000,760.000000,784.000000,792.000000,740.000000,780.000000,784.000000,800.000000,752.000000,800.000000,780.000000,760.000000,800.000000,808.000000,772.000000,780.000000,796.000000,776.000000,792.000000,792.000000,780.000000,772.000000,788.000000,808.000000,740.000000,784.000000,768.000000,764.000000,800.000000,788.000000,776.000000,764.000000,780.000000,760.000000,784.000000,792.000000,740.000000,780.000000,784.000000,800.000000,752.000000,800.000000,780.000000,760.000000,800.000000,808.000000,772.000000,780.000000,796.000000,776.000000,792.000000,792.000000,780.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3355.000000,3564.000000,7062.000000,9746.000000,6447.000000,9665.000000,10097.000000,6443.000000,10123.000000,6917.000000,6929.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,519470966591455,519470966620255,0
