"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipLaunchKernel","3","28310","9436","54.0473463153876"
"hipModuleLaunchKernel","1","10620","10620","20.2749140893471"
"hipGetDevice","20","4480","224","8.5528827796869"
"hipPointerGetAttribute","4","3440","860","6.56739213440244"
"hipSetDevice","11","2400","218","4.58190148911798"
"hipGetLastError","5","1180","236","2.25276823214968"
"__hipPopCallConfiguration","3","1010","336","1.92821687667049"
"__hipPushCallConfiguration","3","940","313","1.79457808323788"
"Total","50","52380","1047","100.0"
