Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_ACTIVE_INST_VALU,SQ_INSTS_FLAT_LDS_ONLY,SQ_INSTS_LDS,SQ_INSTS_VALU,SQ_INSTS_VMEM_RD,SQ_INSTS_VMEM_WR,SQ_LDS_BANK_CONFLICT,SQ_WAIT_INST_LDS,TA_FLAT_WRITE_WAVEFRONTS[0],TA_FLAT_WRITE_WAVEFRONTS[1],TA_FLAT_WRITE_WAVEFRONTS[2],TA_FLAT_WRITE_WAVEFRONTS[3],TA_FLAT_WRITE_WAVEFRONTS[4],TA_FLAT_WRITE_WAVEFRONTS[5],TA_FLAT_WRITE_WAVEFRONTS[6],TA_FLAT_WRITE_WAVEFRONTS[7],TA_FLAT_WRITE_WAVEFRONTS[8],TA_FLAT_WRITE_WAVEFRONTS[9],TA_FLAT_WRITE_WAVEFRONTS[10],TA_FLAT_WRITE_WAVEFRONTS[11],TA_FLAT_WRITE_WAVEFRONTS[12],TA_FLAT_WRITE_WAVEFRONTS[13],TA_FLAT_WRITE_WAVEFRONTS[14],TA_FLAT_WRITE_WAVEFRONTS[15],TA_TA_BUSY[0],TA_TA_BUSY[1],TA_TA_BUSY[2],TA_TA_BUSY[3],TA_TA_BUSY[4],TA_TA_BUSY[5],TA_TA_BUSY[6],TA_TA_BUSY[7],TA_TA_BUSY[8],TA_TA_BUSY[9],TA_TA_BUSY[10],TA_TA_BUSY[11],TA_TA_BUSY[12],TA_TA_BUSY[13],TA_TA_BUSY[14],TA_TA_BUSY[15],TCC_EA_WRREQ[0],TCC_EA_WRREQ[1],TCC_EA_WRREQ[2],TCC_EA_WRREQ[3],TCC_EA_WRREQ[4],TCC_EA_WRREQ[5],TCC_EA_WRREQ[6],TCC_EA_WRREQ[7],TCC_EA_WRREQ[8],TCC_EA_WRREQ[9],TCC_EA_WRREQ[10],TCC_EA_WRREQ[11],TCC_EA_WRREQ[12],TCC_EA_WRREQ[13],TCC_EA_WRREQ[14],TCC_EA_WRREQ[15],TCC_EA_WRREQ[16],TCC_EA_WRREQ[17],TCC_EA_WRREQ[18],TCC_EA_WRREQ[19],TCC_EA_WRREQ[20],TCC_EA_WRREQ[21],TCC_EA_WRREQ[22],TCC_EA_WRREQ[23],TCC_EA_WRREQ[24],TCC_EA_WRREQ[25],TCC_EA_WRREQ[26],TCC_EA_WRREQ[27],TCC_EA_WRREQ[28],TCC_EA_WRREQ[29],TCC_EA_WRREQ[30],TCC_EA_WRREQ[31],TCC_EA_WRREQ_64B[0],TCC_EA_WRREQ_64B[1],TCC_EA_WRREQ_64B[2],TCC_EA_WRREQ_64B[3],TCC_EA_WRREQ_64B[4],TCC_EA_WRREQ_64B[5],TCC_EA_WRREQ_64B[6],TCC_EA_WRREQ_64B[7],TCC_EA_WRREQ_64B[8],TCC_EA_WRREQ_64B[9],TCC_EA_WRREQ_64B[10],TCC_EA_WRREQ_64B[11],TCC_EA_WRREQ_64B[12],TCC_EA_WRREQ_64B[13],TCC_EA_WRREQ_64B[14],TCC_EA_WRREQ_64B[15],TCC_EA_WRREQ_64B[16],TCC_EA_WRREQ_64B[17],TCC_EA_WRREQ_64B[18],TCC_EA_WRREQ_64B[19],TCC_EA_WRREQ_64B[20],TCC_EA_WRREQ_64B[21],TCC_EA_WRREQ_64B[22],TCC_EA_WRREQ_64B[23],TCC_EA_WRREQ_64B[24],TCC_EA_WRREQ_64B[25],TCC_EA_WRREQ_64B[26],TCC_EA_WRREQ_64B[27],TCC_EA_WRREQ_64B[28],TCC_EA_WRREQ_64B[29],TCC_EA_WRREQ_64B[30],TCC_EA_WRREQ_64B[31],TCC_EA1_WRREQ[0],TCC_EA1_WRREQ[1],TCC_EA1_WRREQ[2],TCC_EA1_WRREQ[3],TCC_EA1_WRREQ[4],TCC_EA1_WRREQ[5],TCC_EA1_WRREQ[6],TCC_EA1_WRREQ[7],TCC_EA1_WRREQ[8],TCC_EA1_WRREQ[9],TCC_EA1_WRREQ[10],TCC_EA1_WRREQ[11],TCC_EA1_WRREQ[12],TCC_EA1_WRREQ[13],TCC_EA1_WRREQ[14],TCC_EA1_WRREQ[15],TCC_EA1_WRREQ[16],TCC_EA1_WRREQ[17],TCC_EA1_WRREQ[18],TCC_EA1_WRREQ[19],TCC_EA1_WRREQ[20],TCC_EA1_WRREQ[21],TCC_EA1_WRREQ[22],TCC_EA1_WRREQ[23],TCC_EA1_WRREQ[24],TCC_EA1_WRREQ[25],TCC_EA1_WRREQ[26],TCC_EA1_WRREQ[27],TCC_EA1_WRREQ[28],TCC_EA1_WRREQ[29],TCC_EA1_WRREQ[30],TCC_EA1_WRREQ[31],TCC_EA1_WRREQ_64B[0],TCC_EA1_WRREQ_64B[1],TCC_EA1_WRREQ_64B[2],TCC_EA1_WRREQ_64B[3],TCC_EA1_WRREQ_64B[4],TCC_EA1_WRREQ_64B[5],TCC_EA1_WRREQ_64B[6],TCC_EA1_WRREQ_64B[7],TCC_EA1_WRREQ_64B[8],TCC_EA1_WRREQ_64B[9],TCC_EA1_WRREQ_64B[10],TCC_EA1_WRREQ_64B[11],TCC_EA1_WRREQ_64B[12],TCC_EA1_WRREQ_64B[13],TCC_EA1_WRREQ_64B[14],TCC_EA1_WRREQ_64B[15],TCC_EA1_WRREQ_64B[16],TCC_EA1_WRREQ_64B[17],TCC_EA1_WRREQ_64B[18],TCC_EA1_WRREQ_64B[19],TCC_EA1_WRREQ_64B[20],TCC_EA1_WRREQ_64B[21],TCC_EA1_WRREQ_64B[22],TCC_EA1_WRREQ_64B[23],TCC_EA1_WRREQ_64B[24],TCC_EA1_WRREQ_64B[25],TCC_EA1_WRREQ_64B[26],TCC_EA1_WRREQ_64B[27],TCC_EA1_WRREQ_64B[28],TCC_EA1_WRREQ_64B[29],TCC_EA1_WRREQ_64B[30],TCC_EA1_WRREQ_64B[31],TCP_TCP_TA_DATA_STALL_CYCLES[0],TCP_TCP_TA_DATA_STALL_CYCLES[1],TCP_TCP_TA_DATA_STALL_CYCLES[2],TCP_TCP_TA_DATA_STALL_CYCLES[3],TCP_TCP_TA_DATA_STALL_CYCLES[4],TCP_TCP_TA_DATA_STALL_CYCLES[5],TCP_TCP_TA_DATA_STALL_CYCLES[6],TCP_TCP_TA_DATA_STALL_CYCLES[7],TCP_TCP_TA_DATA_STALL_CYCLES[8],TCP_TCP_TA_DATA_STALL_CYCLES[9],TCP_TCP_TA_DATA_STALL_CYCLES[10],TCP_TCP_TA_DATA_STALL_CYCLES[11],TCP_TCP_TA_DATA_STALL_CYCLES[12],TCP_TCP_TA_DATA_STALL_CYCLES[13],TCP_TCP_TA_DATA_STALL_CYCLES[14],TCP_TCP_TA_DATA_STALL_CYCLES[15],DispatchNs,BeginNs,EndNs,CompleteNs
0,_gqa6,0,0,13,875277,875277,6144,256,34816,220,256,0,64,64,0x7f970b1fee00,61809,61809,184896,0,19968,157728,5952,5088,41472,29399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13105,7208,27902,21768,14790,14084,15286,15438,14190,14970,14416,0,0,0,0,0,772,788,808,740,784,768,764,800,788,776,764,780,760,784,792,740,780,784,800,752,800,780,760,800,808,772,780,796,776,792,792,780,772,788,808,740,784,768,764,800,788,776,764,780,760,784,792,740,780,784,800,752,800,780,760,800,808,772,780,796,776,792,792,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3568,2013,7782,5661,3763,3962,3947,4138,4069,4076,4147,0,0,0,0,0,518976476565406,518976481855171,518976481883811,518976481893820
1,_gqa6,0,0,15,875277,875277,6144,256,34816,220,256,0,64,64,0x7f970b1fed00,61561,61561,184896,0,19968,157728,5952,5088,41472,30097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13911,0,14101,13426,22740,29057,20764,14693,14415,16335,14741,0,0,0,0,0,772,788,808,740,784,768,764,800,788,776,764,780,760,784,792,740,780,784,800,752,800,780,760,800,808,772,780,796,776,792,792,780,772,788,808,740,784,768,764,800,788,776,764,780,760,784,792,740,780,784,800,752,800,780,760,800,808,772,780,796,776,792,792,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3651,0,3576,3802,6211,8274,6439,4127,4114,4174,3808,0,0,0,0,0,518976483222474,518976485427328,518976485455968,518976485458590
2,_gqa6,0,0,17,875277,875277,6144,256,34816,220,256,0,64,64,0x7f970b1fec00,61077,61077,184896,0,19968,157728,5952,5088,41472,25216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6490,13480,14250,13626,13273,12924,12861,19691,27671,20434,6633,0,0,0,0,0,772,788,808,740,784,768,764,800,788,776,764,780,760,784,792,740,780,784,800,752,800,780,760,800,808,772,780,796,776,792,792,780,772,788,808,740,784,768,764,800,788,776,764,780,760,784,792,740,780,784,800,752,800,780,760,800,808,772,780,796,776,792,792,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2027,4445,4476,4617,4165,4230,4133,6055,8471,6378,2084,0,0,0,0,0,518976486748663,518976488756766,518976488785086,518976488787749
3,_gqa6,0,0,19,875277,875277,6144,256,34816,220,256,0,64,64,0x7f970b1feb00,61377,61377,184896,0,19968,157728,5952,5088,41472,25808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13183,12772,19884,13406,13581,13015,13757,12718,13693,13029,19712,0,0,0,0,0,772,788,808,740,784,768,764,800,788,776,764,780,760,784,792,740,780,784,800,752,800,780,760,800,808,772,780,796,776,792,792,780,772,788,808,740,784,768,764,800,788,776,764,780,760,784,792,740,780,784,800,752,800,780,760,800,808,772,780,796,776,792,792,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3860,4092,6003,4013,4041,4032,4060,3751,3859,3884,5958,0,0,0,0,0,518976490081592,518976492043645,518976492072125,518976492075128
0,_gqa6,1,0,13,875278,875278,6144,256,34816,220,256,0,64,64,0x7f3183dfee00,61704,61704,184896,0,19968,157728,5952,5088,41472,25174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7708,0,6616,13627,14443,21645,22194,27621,21036,28974,6345,0,0,0,0,0,772,788,808,740,784,768,764,800,788,776,764,780,760,784,792,740,780,784,800,752,800,780,760,800,808,772,780,796,776,792,792,780,772,788,808,740,784,768,764,800,788,776,764,780,760,784,792,740,780,784,800,752,800,780,760,800,808,772,780,796,776,792,792,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3088,0,2716,6102,6224,8459,9383,10747,8358,11563,2452,0,0,0,0,0,518976479102683,518976484213578,518976484241738,518976484256207
1,_gqa6,1,0,15,875278,875278,6144,256,34816,220,256,0,64,64,0x7f3183dfed00,60976,60976,184896,0,19968,157728,5952,5088,41472,21935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21070,20775,14023,7807,7415,7277,14816,14301,20913,14073,29023,0,0,0,0,0,772,788,808,740,784,768,764,800,788,776,764,780,760,784,792,740,780,784,800,752,800,780,760,800,808,772,780,796,776,792,792,780,772,788,808,740,784,768,764,800,788,776,764,780,760,784,792,740,780,784,800,752,800,780,760,800,808,772,780,796,776,792,792,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7745,8748,5998,3072,2970,3006,5462,4784,7988,5456,11438,0,0,0,0,0,518976485508090,518976488078696,518976488106376,518976488107917
2,_gqa6,1,0,17,875278,875278,6144,256,34816,220,256,0,64,64,0x7f3183dfec00,61990,61990,184896,0,19968,157728,5952,5088,41472,23129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14794,8330,29513,29022,22685,21627,6585,7286,8264,14598,15918,0,0,0,0,0,772,788,808,740,784,768,764,800,788,776,764,780,760,784,792,740,780,784,800,752,800,780,760,800,808,772,780,796,776,792,792,780,772,788,808,740,784,768,764,800,788,776,764,780,760,784,792,740,780,784,800,752,800,780,760,800,808,772,780,796,776,792,792,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5400,2947,10794,10574,8898,8349,2342,2449,3119,5955,6152,0,0,0,0,0,518976489352500,518976491478055,518976491506375,518976491508416
3,_gqa6,1,0,19,875278,875278,6144,256,34816,220,256,0,64,64,0x7f3183dfeb00,62076,62076,184896,0,19968,157728,5952,5088,41472,30162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6610,0,14578,14688,20830,21619,28281,28188,21509,7412,6674,0,0,0,0,0,772,788,808,740,784,768,764,800,788,776,764,780,760,784,792,740,780,784,800,752,800,780,760,800,808,772,780,796,776,792,792,780,772,788,808,740,784,768,764,800,788,776,764,780,760,784,792,740,780,784,800,752,800,780,760,800,808,772,780,796,776,792,792,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200,0,6054,6273,8618,8457,11201,11889,8774,3040,2733,0,0,0,0,0,518976492744520,518976494788934,518976494817254,518976494818815
