request_id,measured_request_ordinal,rank,physical_device_id,prompt_tokens,completion_tokens,http_status,begin_ns,end_ns,duration_ns
batch8-dual-dcu-dp2-req-001-9ff911f1de6b093c,1,1,1,20576,1024,200,1788409245078978841,1788409911270074537,666191095696
batch8-dual-dcu-dp2-req-002-28a42990210e6f68,2,0,0,22296,1024,200,1788409245079692955,1788409920759320265,675679627310
batch8-dual-dcu-dp2-req-003-f69e92ff8427bd4f,3,1,1,21372,1024,200,1788409245080416569,1788409933628466184,688548049615
batch8-dual-dcu-dp2-req-004-71f4a612b67ff786,4,0,0,22387,1024,200,1788409245081238974,1788409946738291384,701657052410
batch8-dual-dcu-dp2-req-005-9c4c6d4653893ac5,5,0,0,20537,1024,200,1788409245082165879,1788409967714189962,722632024083
batch8-dual-dcu-dp2-req-006-1075ae173cde2b41,6,0,0,20623,1024,200,1788409245083119704,1788409989825824507,744742704803
batch8-dual-dcu-dp2-req-007-02dcf32f532b8ed3,7,1,1,22258,1024,200,1788409245083990199,1788409978702800268,733618810069
batch8-dual-dcu-dp2-req-008-d1b15af09df90d04,8,1,1,20575,1024,200,1788409245084636213,1788409955160739582,710076103369
