kernel_instance_id,runtime_call_id,hip_runtime_index,native_kernel_name,api_arguments
4f9ae48c863b7afdb1ccfb08fc4bc82d3ca7d499f8397bdbc0f0ebfd833d5a52,5d07025016ae3343520cc7edb67de1b89fc535cbb80a634d20743b04b5a90721,7464850,l2norm_fwd_kernel2,"hipModuleLaunchKernel(f=0x560dfee11e50, gridDimX=256, gridDimY=1, gridDimZ=1, blockDimX=256, blockDimY=1, blockDimZ=1, sharedMemBytes=0, stream=0, kernelParams=0x7ffeb3721ea8, extra=NULL)"
0169722702b33917a549df4107ec93ce87efd0aea989e4e9888cabc92bf54675,c6f61c709497874f0ed053389bac380778f0b0fbfcc5e6f6640aabd2fbd5af07,7464872,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctor_add<int>, std::array<char*, 3ul>, 4, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, at::native::CUDAFunctor_add<int>, std::array<char*, 3ul>, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast)","hipLaunchKernel(function_address=0x7facbbd5b7a0, numBlocks={z=1, y=1, x=1}, dimBlocks={z=1, y=1, x=256}, args=0x7ffeb3721068, sharedMemBytes=0, stream=0)"
e7bc82e6d2c4552107c79e7160ffda3f685b01059256f4a41d61b3b13635d283,f2435f375f4ce2bbc7454a5afab287cac1f4840090cc0011500fe4acfb75fe85,7464891,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<int>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<int>, std::array<char*, 2ul>)","hipLaunchKernel(function_address=0x7facbbd5b750, numBlocks={z=1, y=1, x=1}, dimBlocks={z=1, y=1, x=256}, args=0x7ffeb3721028, sharedMemBytes=0, stream=0)"
7bb2bad7a56465b54cf38ba2951d58a00cacc4a3c2bd5bbf096b253b17255229,f2b288161cd34c7b396dacd026097913eebf6569b096e450e19a71a52159b53a,7464910,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<int>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<int>, std::array<char*, 2ul>)","hipLaunchKernel(function_address=0x7facbbd5b750, numBlocks={z=1, y=1, x=1}, dimBlocks={z=1, y=1, x=256}, args=0x7ffeb3720fe8, sharedMemBytes=0, stream=0)"
6d9d649935860ce6d9becd501bd6fb9831e4320c1d3da2dac752605efdb9798a,49dee5febf24f8c2a4fadde5946e916a03561dcb332315e683eca4cb531c9f86,7464931,"void at::native::vectorized_elementwise_kernel<4, at::native::BUnaryFunctor<int, int, int, at::native::binary_internal::div_floor_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(int, int)#1}>, std::array<char*, 2ul> >(int, at::native::BUnaryFunctor<int, int, int, at::native::binary_internal::div_floor_kernel_cuda(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#3}::operator()() const::{lambda(int, int)#1}>, std::array<char*, 2ul>)","hipLaunchKernel(function_address=0x7facbbd62c50, numBlocks={z=1, y=1, x=1}, dimBlocks={z=1, y=1, x=256}, args=0x7ffeb3720c40, sharedMemBytes=0, stream=0)"
9d1885c6d66033f37a7844e5b8e7f17f759470e871d8a70c23abfe9fec6d6055,2cd58fad6d0a0d6bc772ee7b078195e9d433c681e2f95fff9cb80c642d48358e,7465030,chunk_local_cumsum_scalar_kernel,"hipModuleLaunchKernel(f=0x560e07abb990, gridDimX=8, gridDimY=48, gridDimZ=1, blockDimX=64, blockDimY=1, blockDimZ=1, sharedMemBytes=0, stream=0, kernelParams=0x7ffeb3721378, extra=NULL)"
bb5c9a7c8a290371b465402d7bf2bad811dfd5d463a64c267209d6ee9c4dedd4,e7413c549ff5cef484e6e2c15bcba64e1bda882814ecc792c5c4b5f652bc19af,7465053,chunk_scaled_dot_kkt_fwd_kernel,"hipModuleLaunchKernel(f=0x560e01d03820, gridDimX=8, gridDimY=48, gridDimZ=1, blockDimX=256, blockDimY=1, blockDimZ=1, sharedMemBytes=16384, stream=0, kernelParams=0x7ffeb3721768, extra=NULL)"
6d3980a3695df3a93474126b21506ab5d5a8e168b0de77ef2a554f5d11475c8a,69840786743412b11fadf72d1e0fbba9955c3bd6082238ef38f3619a7bcf73c9,7465074,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)","hipLaunchKernel(function_address=0x7facbbd6f518, numBlocks={z=1, y=1, x=768}, dimBlocks={z=1, y=1, x=256}, args=0x7ffeb3721780, sharedMemBytes=0, stream=0)"
07338a314b867a2bfd13134338b6395eff86680c9788c3011e72d03d4a815779,dc7724bceef0bf345652e772d54a31e4e719325582f6fbc261ec011b903e0673,7465091,merge_16x16_to_64x64_inverse_kernel,"hipModuleLaunchKernel(f=0x560e02afc600, gridDimX=8, gridDimY=48, gridDimZ=1, blockDimX=128, blockDimY=1, blockDimZ=1, sharedMemBytes=3072, stream=0, kernelParams=0x7ffeb3721558, extra=NULL)"
4c481722af620c17bb42243f1b4481782a884b72df62931677b3c5e8106fa1b8,d4b11f188f174fabfc26b4bf5a41738b04e6f55da4c58125eb6ca9d1cc2b09d7,7465122,recompute_w_u_fwd_kernel,"hipModuleLaunchKernel(f=0x560e03396370, gridDimX=8, gridDimY=48, gridDimZ=1, blockDimX=512, blockDimY=1, blockDimZ=1, sharedMemBytes=24576, stream=0, kernelParams=0x7ffeb37216f0, extra=NULL)"
ae5ad0086e7e8fc56adef97acb0320148a68a29df7c612452288d5778c4a6383,e780c86447bd899927476c59d7c65dda999aebba3abc52a33eb68ac6714e51ba,7465180,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<int>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<int>, std::array<char*, 2ul>)","hipLaunchKernel(function_address=0x7facbbd5b750, numBlocks={z=1, y=1, x=1}, dimBlocks={z=1, y=1, x=256}, args=0x7ffeb3721438, sharedMemBytes=0, stream=0)"
